"","gene","log2fc","pval","avg_expr","celltype"
"1","chr19:25736746-25737247",5.88899683908708,1.37730205273787e-44,-1.42462824164157,"Melanotrophs"
"2","chr11:17726519-17727020",5.94488500674656,2.26081326254609e-44,-1.32585904992414,"Melanotrophs"
"3","chr1:28379293-28379794",5.44290389249271,2.17787590542515e-42,-1.51207704391083,"Melanotrophs"
"4","chr2:112732978-112733479",5.73519122676511,4.02577457681676e-42,-1.28792405809213,"Melanotrophs"
"5","chr15:7834041-7834542",5.89972914233911,8.09290964264236e-42,-1.11558474289931,"Melanotrophs"
"6","chr5:139610772-139611273",6.2897768557139,9.5239605024863e-42,-0.584953088827253,"Melanotrophs"
"7","chr14:103850033-103850534",6.01167224687674,2.26829328256721e-41,-1.02799508279483,"Stem_cells"
"8","chr3:35520085-35520586",5.91077948297044,4.77828929608304e-41,-0.963374767001631,"Stem_cells"
"9","chr3:23135438-23135939",5.78921312118617,9.90105357479882e-41,-1.11392172624577,"Stem_cells"
"10","chr17:63655795-63656296",5.55657210992252,1.44876221209503e-40,-1.40785586502493,"Melanotrophs"
"11","chr1:136149639-136150140",5.92314779170663,2.26649275852462e-40,-0.37956719836948,"Melanotrophs"
"12","chr2:56982374-56982875",5.77053594251872,2.38174055129394e-40,-0.590557764251506,"Melanotrophs"
"13","chr6:82589349-82589850",5.63076736767717,6.52108576811856e-40,-1.34922958137598,"Melanotrophs"
"14","chr14:66000540-66001041",5.8830445620517,6.52910089987311e-40,-0.825426956407406,"Melanotrophs"
"15","chr2:77006999-77007500",5.75730265985267,9.63431852747743e-40,-0.99666027088591,"Melanotrophs"
"16","chr11:112538511-112539012",5.93636438232862,9.79749720054378e-40,-1.02024131030234,"Stem_cells"
"17","chr17:49349275-49349776",5.41842769297899,9.85943990866959e-40,-1.31504103323197,"Melanotrophs"
"18","chr12:59969771-59970272",5.83904278310296,1.26335215738392e-39,-0.552034818728898,"Stem_cells"
"19","chr3:63433659-63434160",5.58324288064267,1.28502807533913e-39,-1.08927798713159,"Melanotrophs"
"20","chr18:78206138-78206639",5.76259259810143,1.34484844821118e-39,-0.744356806514378,"Melanotrophs"
"21","chr2:47429779-47430280",5.4790806149236,3.16511548595876e-39,-1.31288034460149,"Melanotrophs"
"22","chr4:139791780-139792281",5.72422712265461,5.6112142422847e-39,-0.594175679354216,"Melanotrophs"
"23","chr9:6021475-6021976",5.67358505705282,7.8262351885918e-39,-0.967074998896457,"Melanotrophs"
"24","chr11:17727234-17727735",5.2708929636243,1.18996406928631e-38,-1.05619405631506,"Melanotrophs"
"25","chr16:53012347-53012848",5.73530273873192,1.97343676532341e-38,-0.627106518674887,"Melanotrophs"
"26","chr4:20785567-20786068",5.52782556982296,2.22095617706871e-38,-1.15140712408453,"Melanotrophs"
"27","chr2:143399544-143400045",5.73652203121118,4.05698795244744e-38,-1.02794964336772,"Melanotrophs"
"28","chr12:70598059-70598560",5.71355900464244,4.6311375772786e-38,-0.417945492305498,"Stem_cells"
"29","chr4:104395569-104396070",5.5324857973386,4.95630183859772e-38,-1.05373353629451,"Stem_cells"
"30","chr15:69752538-69753039",5.67093665654086,5.06545191331607e-38,-1.07631354753605,"Stem_cells"
"31","chr18:47111721-47112222",5.69630127766803,5.14542065200284e-38,-0.921808857110592,"Stem_cells"
"32","chr10:23435744-23436245",5.7259781486645,5.89652657979237e-38,-0.872300205761643,"Stem_cells"
"33","chr4:25199994-25200495",5.55103100654441,7.14071921271297e-38,-1.06101754280792,"Stem_cells"
"34","chr10:111549970-111550471",5.89028354134443,1.31617782655014e-37,-0.301946820993286,"Stem_cells"
"35","chr5:108024102-108024603",5.5517807755078,1.66392985696614e-37,-0.992451602477426,"Stem_cells"
"36","chr2:20380257-20380758",5.42848001753227,1.86408380629838e-37,-0.826301294068536,"Melanotrophs"
